Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
ARI,2015,6,PIT,0.223,0.189,0.5,-0.431,-0.112,0.097,-0.246,-0.078
ATL,2015,6,NO,-0.456,-0.192,-0.291,0.114,0.08,0.327,-0.201,-0.185
BAL,2015,6,SF,-0.196,-0.088,-0.006,-0.136,0.19,0.738,-0.46,0.082
BUF,2015,6,CIN,0.158,0.447,0.546,0.333,0.22,0.4,-0.004,-0.068
CAR,2015,6,SEA,0.443,0.202,0.166,0.408,-0.204,-0.203,-0.204,0.037
CHI,2015,6,DET,0.015,0.004,0.089,-0.097,0.085,0.215,-0.099,0.096
CIN,2015,6,BUF,0.347,0.34,0.675,0.012,0.153,0.232,0.059,0.16
CLE,2015,6,DEN,0.064,-0.122,-0.1,0.027,-0.146,-0.254,0.005,0.041
DEN,2015,6,CLE,-0.251,-0.362,-0.567,-0.087,-0.243,-0.375,-0.109,-0.132
DET,2015,6,CHI,-0.12,-0.028,0.168,-0.319,-0.027,0.152,-0.23,-0.119
GB,2015,6,SD,0.272,0.215,0.429,-0.017,0.03,0.281,-0.628,0.086
HOU,2015,6,JAC,0.223,0.126,0.532,-0.258,-0.118,-0.145,-0.053,-0.021
IND,2015,6,NE,0.125,0.216,0.313,0.193,0.06,0.039,0.094,-0.031
JAC,2015,6,HOU,-0.283,-0.011,0.059,-0.063,0.214,0.673,-0.319,-0.058
KC,2015,6,MIN,0.599,0.111,0.487,-0.487,-0.426,-0.184,-0.636,0.063
MIA,2015,6,TEN,0.54,0.31,0.319,0.415,-0.265,-0.321,-0.148,-0.035
MIN,2015,6,KC,-0.325,-0.409,-0.084,-0.576,-0.057,0.297,-0.639,0.027
NE,2015,6,IND,-0.041,0.221,0.328,0.158,0.283,0.331,0.169,0.02
NO,2015,6,ATL,-0.327,0.122,0.445,-0.191,0.257,0.178,0.423,-0.192
NYG,2015,6,PHI,-0.748,-0.575,-0.712,-0.286,0.138,0.038,0.235,-0.035
NYJ,2015,6,WAS,0.619,0.327,0.49,0.219,-0.419,-0.402,-0.453,-0.127
PHI,2015,6,NYG,0.436,-0.141,-0.385,0.233,-0.556,-0.757,-0.219,0.021
PIT,2015,6,ARI,0.444,0.26,0.602,0.114,-0.075,0.051,-0.357,0.109
SD,2015,6,GB,-0.235,0.164,0.584,-0.794,0.317,0.398,0.143,-0.083
SEA,2015,6,CAR,0.387,0.356,0.64,0.063,-0.014,-0.165,0.124,0.016
SF,2015,6,BAL,-0.17,0.008,0.51,-0.471,0.118,0.235,-0.077,-0.059
TEN,2015,6,MIA,-0.917,-0.61,-0.79,-0.249,0.366,0.349,0.38,0.059
WAS,2015,6,NYJ,-0.46,-0.248,-0.072,-0.399,0.241,0.338,0.176,0.029
ARI,2015,7,BAL,-0.041,0.212,0.361,0.025,-0.003,0.02,-0.072,-0.256
ATL,2015,7,TEN,-0.003,-0.13,-0.246,0.002,-0.146,-0.301,0.165,-0.018
BAL,2015,7,ARI,-0.081,0.025,0.055,0.144,0.111,0.242,-0.044,0.005
BUF,2015,7,JAC,-0.285,-0.378,-0.528,-0.073,0.064,0.34,-0.133,0.157
CAR,2015,7,PHI,0.189,0.004,-0.338,0.273,-0.154,-0.246,-0.016,0.032
CLE,2015,7,LARM,-0.682,-0.328,-0.15,-0.339,0.301,0.195,0.395,-0.054
DAL,2015,7,NYG,-0.322,-0.013,-0.423,0.385,0.083,-0.041,0.23,-0.226
