year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2015,13,SD,DEN,3,17,-14,0,0,4,-4,43,20
2015,13,DET,GB,23,27,-4,0,1,5,-5,47.5,50
2015,13,BUF,HOU,30,21,9,1,1,-3.5,3.5,41.5,51
2015,13,PIT,IND,45,10,35,1,1,-7,7,47.5,55
2015,13,OAK,KC,20,34,-14,0,0,3,-3,44.5,54
2015,13,NYG,NYJ,20,23,-3,0,0,1,-1,45,43
2015,13,NE,PHI,28,35,-7,0,0,-10,10,48.5,63
2015,13,MIN,SEA,7,38,-31,0,0,1,-1,42,45
2015,13,CHI,SF,20,26,-6,0,0,-7,7,41.5,46
2015,13,JAC,TEN,19,13,6,1,1,-3,3,44.5,32
2015,14,CAR,ATL,38,0,38,1,1,-7.5,7.5,47,38
2015,14,PHI,BUF,23,20,3,1,1,-2,2,46.5,43
2015,14,GB,DAL,28,7,21,1,1,-7.5,7.5,43,35
2015,14,JAC,IND,51,16,35,1,1,1,-1,45,67
2015,14,BAL,JAC,20,22,-2,0,0,-6.5,6.5,48,42
2015,14,ARI,MIN,23,20,3,1,0,-7.5,7.5,45,43
2015,14,HOU,NE,6,27,-21,0,0,3.5,-3.5,45,33
2015,14,TB,NO,17,24,-7,0,0,-3.5,3.5,51,41
2015,14,MIA,NYG,24,31,-7,0,0,-2,2,46.5,55
2015,14,DEN,OAK,12,15,-3,0,0,-7.5,7.5,43.5,27
2015,14,CIN,PIT,20,33,-13,0,0,-3,3,47.5,53
2015,14,KC,SD,10,3,7,1,0,-10.5,10.5,46.5,13
2015,14,BAL,SEA,6,35,-29,0,0,10.5,-10.5,43,41
2015,14,CLE,SF,24,10,14,1,1,-1.5,1.5,40.5,34
2015,14,NYJ,TEN,30,8,22,1,1,-7.5,7.5,43.5,38
2015,14,CHI,WAS,21,24,-3,0,0,-3.5,3.5,43.5,45
2015,15,PHI,ARI,17,40,-23,0,0,3.5,-3.5,50.5,57
2015,15,JAC,ATL,17,23,-6,0,0,-3,3,48,40
2015,15,WAS,BUF,35,25,10,1,1,1,-1,44,60
2015,15,NYG,CAR,35,38,-3,0,1,4,-4,48,73
2015,15,MIN,CHI,38,17,21,1,1,-5,5,43,55
2015,15,SF,CIN,14,24,-10,0,0,4.5,-4.5,42,38
2015,15,SEA,CLE,30,13,17,1,1,-14.5,14.5,43,43
2015,15,PIT,DEN,34,27,7,1,1,-6,6,45,61
2015,15,NO,DET,27,35,-8,0,0,-3,3,50,62
2015,15,OAK,GB,20,30,-10,0,0,3,-3,45.5,50
2015,15,IND,HOU,10,16,-6,0,0,0,0,41,26
2015,15,BAL,KC,14,34,-20,0,0,7,-7,43,48
2015,15,SD,MIA,30,14,16,1,1,-1.5,1.5,44.5,44
2015,15,DAL,NYJ,16,19,-3,0,0,3,-3,42,35
2015,15,NE,TEN,33,16,17,1,1,-13.5,13.5,46.5,49
2015,16,ATL,CAR,20,13,7,1,1,7,-7,47,33
2015,16,TB,CHI,21,26,-5,0,0,-3,3,45.5,47
2015,16,DEN,CIN,20,17,3,1,0,-3.5,3.5,42,37
2015,16,KC,CLE,17,13,4,1,0,-12.5,12.5,43,30
2015,16,BUF,DAL,16,6,10,1,1,-6,6,43.5,22
2015,16,ARI,GB,38,8,30,1,1,-4.5,4.5,49.5,46
2015,16,TEN,HOU,6,34,-28,0,0,4.5,-4.5,42,40
2015,16,MIA,IND,12,18,-6,0,0,-1.5,1.5,44,30
