,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,Predicted,Error,HomeLine
417,2016,10,NO,DEN,23,25,-2,11.505936576052672,13.505936576052672,-1.5
421,2017,7,SD,DEN,21,0,21,8.556496233652851,-12.443503766347149,-1.0
434,2015,4,SEA,DET,13,10,3,-0.8701749641655157,-3.870174964165516,-10.0
436,2017,2,NYG,DET,10,24,-14,-10.436283338906453,3.5637166610935473,-4.5
437,2016,13,NYJ,IND,10,41,-31,-31.86284525679825,-0.8628452567982485,2.0
438,2017,14,TB,DET,21,24,-3,-3.782592601916676,-0.7825926019166758,2.0
439,2018,2,SF,DET,30,27,3,4.018952463581055,1.018952463581055,-5.5
442,2018,16,NYJ,GB,38,44,-6,6.699246491849963,12.699246491849962,2.5
444,2015,15,OAK,GB,20,30,-10,-2.8283612133436553,7.171638786656345,3.0
446,2016,6,OAK,KC,10,26,-16,-14.207663818135305,1.7923361818646946,-2.0
447,2016,11,OAK,HOU,27,20,7,5.549148072130635,-1.4508519278693646,-5.0
450,2018,8,OAK,IND,28,42,-14,4.018640374154415,18.018640374154415,1.5
458,2018,11,SEA,GB,27,24,3,-6.189212543155072,-9.189212543155072,-3.0
461,2015,16,TEN,HOU,6,34,-28,-23.380240907299086,4.619759092700914,4.5
467,2018,11,WAS,HOU,21,23,-2,4.1692728820854486,6.1692728820854486,2.5
468,2019,1,SD,IND,30,24,6,3.011128014184356,-2.988871985815644,-7.0
477,2016,12,DEN,KC,27,30,-3,-4.052197943519727,-1.0521979435197268,-3.5
489,2018,2,PIT,KC,37,42,-5,-15.084579190406295,-10.084579190406295,-4.5
493,2018,11,LARM,KC,54,51,3,-1.4628768231585911,-4.462876823158592,-2.5
498,2016,1,SF,LARM,28,0,28,15.865775174023785,-12.134224825976215,2.5
501,2016,6,DET,LARM,31,28,3,-4.114330005404465,-7.114330005404465,-3.0
514,2018,5,SEA,LARM,31,33,-2,-0.826469987181147,1.173530012818853,7.0
522,2019,3,CLE,LARM,13,20,-7,-2.0090143954010458,4.990985604598954,2.5
540,2017,3,NYJ,MIA,20,6,14,10.954216067030224,-3.0457839329697762,6.0
549,2018,5,CIN,MIA,27,17,10,-3.7548502776830235,-13.754850277683023,-5.5
553,2018,15,MIN,MIA,41,17,24,22.585041257699462,-1.4149587423005379,-7.0
557,2015,4,DEN,MIN,23,20,3,5.205449642823451,2.205449642823451,-6.5
564,2016,1,TEN,MIN,16,25,-9,-2.295182497715494,6.704817502284506,0.0
565,2016,3,CAR,MIN,10,22,-12,-9.52346841608291,2.4765315839170903,-7.5
569,2016,12,DET,MIN,16,13,3,6.269811730256337,3.269811730256337,-2.5
570,2016,16,GB,MIN,38,25,13,10.468479128661397,-2.5315208713386035,-7.0
573,2017,8,CLE,MIN,16,33,-17,-3.0169496967463005,13.9830503032537,8.5
578,2017,16,GB,MIN,0,16,-16,-12.873131680958661,3.126868319041339,9.0
582,2018,7,NYJ,MIN,17,37,-20,-13.525957109123564,6.4740428908764365,3.0
587,2019,2,GB,MIN,21,16,5,11.535819818384482,6.535819818384482,-3.0
593,2015,10,NYG,NE,26,27,-1,0.4683248546542762,1.4683248546542762,7.5
594,2015,12,DEN,NE,30,24,6,-4.204869827255427,-10.204869827255427,3.5
598,2016,1,ARI,NE,21,23,-2,5.189447041171454,7.189447041171454,-5.5
599,2016,5,CLE,NE,13,33,-20,-15.932557707230497,4.067442292769503,10.5
601,2016,8,BUF,NE,25,41,-16,-10.124299512679102,5.8757004873208984,5.0
608,2017,6,NYJ,NE,17,24,-7,-16.53531856241981,-9.53531856241981,9.5
610,2017,11,OAK,NE,8,33,-25,-12.420618564643604,12.579381435356396,5.5
612,2017,14,MIA,NE,27,20,7,1.584771577656995,-5.415228422343005,12.0
613,2017,15,PIT,NE,24,27,-3,-4.508806934996524,-1.5088069349965236,2.0
615,2018,7,CHI,NE,31,38,-7,-9.252533967931097,-2.2525339679310967,2.5
618,2018,12,NYJ,NE,13,27,-14,-16.39750405584272,-2.3975040558427203,9.5
624,2015,1,ARI,NO,31,19,12,12.416569171191302,0.416569171191302,-2.5
628,2015,10,WAS,NO,47,14,33,18.771551209561917,-14.228448790438083,0.0
632,2016,2,NYG,NO,16,13,3,2.8057051641039905,-0.1942948358960095,-5.0
634,2016,7,KC,NO,27,21,6,6.688059073700933,0.6880590737009333,-7.0
637,2016,14,TB,NO,16,11,5,9.170851042724234,4.170851042724234,-2.5
642,2017,4,MIA,NO,0,20,-20,-11.185403210214517,8.814596789785483,2.5
649,2018,4,NYG,NO,18,33,-15,-4.6006471591112525,10.399352840888747,3.5
650,2018,7,BAL,NO,23,24,-1,-1.4651017131239512,-0.4651017131239512,-2.5
653,2018,13,DAL,NO,13,10,3,10.759666436996138,7.759666436996138,7.5
661,2015,8,NO,NYG,52,49,3,6.741533433594532,3.7415334335945323,-3.5
668,2016,5,GB,NYG,23,16,7,6.053572168205094,-0.9464278317949057,-7.5
670,2016,12,CLE,NYG,13,27,-14,-13.798420198560503,0.20157980143949672,7.0
674,2017,1,DAL,NYG,19,3,16,11.206182377214272,-4.793817622785728,-3.5
677,2017,6,DEN,NYG,10,23,-13,-1.1147081752749042,11.885291824725096,-10.0
679,2017,12,WAS,NYG,20,10,10,12.272343169266275,2.272343169266275,-7.5
680,2017,13,OAK,NYG,24,17,7,10.226040454676756,3.226040454676756,-7.5
687,2018,12,PHI,NYG,25,22,3,-0.7595703627812118,-3.759570362781212,-4.5
693,2015,4,MIA,NYJ,14,27,-13,-7.591316728248759,5.408683271751241,-1.0
695,2015,8,OAK,NYJ,34,20,14,14.277420944578605,0.2774209445786049,0.0
700,2016,2,BUF,NYJ,31,37,-6,-4.206832067237555,1.7931679327624446,-3.0
708,2017,1,BUF,NYJ,21,12,9,3.4691474861792635,-5.5308525138207365,-7.0
710,2017,5,CLE,NYJ,14,17,-3,1.928074539770896,4.928074539770896,-1.5
714,2017,15,NO,NYJ,31,19,12,9.15920593562074,-2.84079406437926,-14.5
715,2017,17,NE,NYJ,26,6,20,20.50322511277472,0.5032251127747216,-16.5
720,2018,13,TEN,NYJ,26,22,4,7.233973677647087,3.2339736776470867,-9.0
729,2015,11,DET,OAK,18,13,5,4.925882327167597,-0.07411767283240334,1.0
