year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal,home_totaldvoa,home_offensedvoa,home_offpassdvoa,home_offrushdvoa,home_defensedvoa,home_defpassdvoa,home_defrushdvoa,home_stdvoa,visit_totaldvoa,visit_offensedvoa,visit_offpassdvoa,visit_offrushdvoa,visit_defensedvoa,visit_defpassdvoa,visit_defrushdvoa,visit_stdvoa
2017,1,GB,SEA,17,9,8,1,1,-3,3,49.5,26,0.373,0.123,0.073,-0.352,-0.279,-0.39,0.202,-0.029,-0.47,-0.404,-0.541,-0.074,0.154,0.253,-0.007,0.088
2018,1,PHI,ATL,18,12,6,1,1,-4,4,46,30,0.312,-0.28,-0.572,0.041,-0.598,-0.833,-0.128,-0.006,-0.297,-0.541,-0.719,-0.112,-0.206,-0.523,0.157,0.038
2018,1,BAL,BUF,47,3,44,1,1,-6,6,41,50,0.731,0.295,0.926,-0.204,-0.503,-0.588,-0.375,-0.067,-1.187,-0.835,-1.075,-0.333,0.258,0.482,0.011,-0.094
2018,1,GB,CHI,24,23,1,1,0,-8,8,47.5,47,0.195,0.057,0.318,-0.125,-0.159,-0.415,0.212,-0.022,0.053,-0.262,-0.574,0.186,-0.259,-0.122,-0.551,0.056
2018,1,IND,CIN,23,34,-11,0,0,-3,3,46,57,-0.29,-0.207,-0.121,-0.398,0.045,0.059,0.027,-0.038,0.324,0.052,0.034,0.174,-0.227,-0.166,-0.365,0.045
2018,1,CAR,DAL,16,8,8,1,1,-2.5,2.5,44,24,0.264,0.102,0.023,0.314,-0.118,-0.21,0.046,0.044,-0.296,-0.197,-0.314,0.16,-0.038,-0.041,-0.034,-0.137
2018,1,NE,HOU,27,20,7,1,1,-6.5,6.5,51,47,0.199,0.097,0.267,-0.035,-0.183,-0.385,-0.004,-0.081,0.031,-0.288,-0.26,-0.09,-0.19,-0.042,-0.381,0.13
2018,1,NYG,JAC,15,20,-5,0,0,3,-3,43.5,35,-0.264,-0.129,-0.05,-0.23,0.085,0.15,0.001,-0.049,0.039,-0.225,-0.17,-0.055,-0.243,-0.215,-0.28,0.022
2018,1,SD,KC,28,38,-10,0,0,-3,3,47,66,0,0.438,0.736,-0.012,0.021,0.295,-0.24,-0.417,0.604,0.437,0.91,-0.008,0.193,0.273,0.036,0.36
2018,1,OAK,LARM,13,33,-20,0,0,3,-3,49.5,46,-0.245,-0.154,-0.124,0.071,0.107,0.2,-0.026,0.016,0.34,0.298,0.283,0.319,-0.056,-0.227,0.19,-0.014
2018,1,DET,NYJ,17,48,-31,0,0,-6.5,6.5,44,65,-1.432,-0.676,-0.651,-0.567,0.317,0.523,0.157,-0.438,0.799,0.008,0.151,0.09,-0.467,-0.498,-0.341,0.324
2018,1,CLE,PIT,21,21,0,0,1,5.5,-5.5,46.5,42,-0.233,-0.344,-0.625,0.17,-0.275,-0.464,-0.032,-0.163,0.068,-0.158,-0.251,-0.042,-0.269,-0.586,0.068,-0.043
2018,1,DEN,SEA,27,24,3,1,1,-2.5,2.5,42,51,0.458,0.049,0.157,-0.006,-0.407,-0.303,-0.646,0.002,-0.251,-0.249,0.006,-0.601,0.011,0.142,-0.14,0.009
2018,1,MIN,SF,24,16,8,1,1,-5.5,5.5,46,40,0.288,-0.198,0.1,-0.387,-0.462,-0.435,-0.495,0.024,-0.475,-0.528,-0.373,-0.657,-0.054,0.218,-0.346,-0.002
2018,1,NO,TB,40,48,-8,0,0,-9.5,9.5,49.5,88,-0.242,0.254,0.402,-0.048,0.48,1.124,-0.159,-0.016,0.12,0.537,1.178,-0.04,0.314,0.454,-0.096,-0.102
2018,1,MIA,TEN,27,20,7,1,1,1.5,-1.5,45,47,0.17,-0.073,-0.012,-0.053,-0.368,-0.506,-0.205,-0.125,-0.39,-0.514,-0.774,-0.215,0.005,0.118,-0.109,0.13
2018,1,ARI,WAS,6,24,-18,0,0,-1,1,44,30,-0.509,-0.43,-0.64,0.091,0.19,0.559,-0.074,0.11,-0.213,-0.011,0.285,-0.133,0.085,-0.077,0.392,-0.118
2019,1,MIN,ATL,28,12,16,1,1,-4,4,47.5,40,0.304,0.172,0.182,0.169,-0.18,-0.113,-0.342,-0.048,-0.463,-0.264,-0.185,-0.392,0.147,0.447,0.06,-0.053
2019,1,MIA,BAL,10,59,-49,0,0,5,-5,37.5,69,-0.977,-0.457,-0.286,-0.75,0.566,1.489,0.029,0.046,0.726,0.438,1.15,0.035,-0.203,-0.102,-0.455,0.085
2019,1,NYJ,BUF,16,17,-1,0,0,-3,3,39.5,33,-0.033,-0.026,0.069,-0.228,-0.079,-0.193,0.09,-0.086,-0.176,-0.16,-0.326,0.253,0.035,0.098,-0.101,0.019
2019,1,SEA,CIN,21,20,1,1,0,-9.5,9.5,43.5,41,-0.179,-0.242,-0.026,-0.254,-0.021,0.098,-0.457,0.042,-0.004,-0.146,0.06,-0.673,-0.211,-0.211,-0.21,-0.069
2019,1,OAK,DEN,24,16,8,1,1,-1,1,43,40,0.479,0.447,1.197,0.133,0.067,0.282,-0.213,0.1,-0.389,0.021,0.196,-0.1,0.335,0.821,-0.049,-0.075
2019,1,ARI,DET,27,27,0,0,1,2.5,-2.5,47.5,54,-0.13,-0.147,-0.153,-0.053,0.096,0.294,-0.144,0.114,-0.04,-0.051,0.287,-0.29,-0.164,-0.176,-0.138,-0.153
2019,1,CHI,GB,3,10,-7,0,0,-3,3,46,13,0.104,-0.206,-0.018,-0.444,-0.262,-0.023,-0.651,0.049,0.105,-0.188,0.247,-0.55,-0.249,-0.247,-0.256,0.044
2019,1,NO,HOU,30,28,2,1,0,-7,7,53,58,0.125,0.328,0.43,0.114,0.299,0.225,0.398,0.096,-0.003,0.278,0.365,0.519,0.264,0.361,0.069,-0.017
2019,1,SD,IND,30,24,6,1,0,-7,7,44,54,-0.036,0.23,0.265,0.276,0.293,0.341,0.261,0.026,-0.132,0.318,0.28,0.344,0.258,0.204,0.34,-0.191
2019,1,JAC,KC,26,40,-14,0,0,4,-4,52,66,0.006,0.362,0.668,-0.195,0.382,0.542,0.181,0.026,0.224,0.527,0.875,0.104,0.335,0.501,0.022,0.032
2019,1,CAR,LARM,27,30,-3,0,0,2.5,-2.5,50.5,57,-0.095,-0.021,-0.291,0.44,0.076,0.003,0.168,0.002,0.067,0.201,0.134,0.284,-0.051,-0.219,0.187,-0.185
2019,1,DAL,NYG,35,17,18,1,1,-7,7,45.5,52,0.481,0.6,1.181,-0.153,0.138,0.133,0.148,0.019,-0.613,-0.094,-0.133,0.095,0.514,1.148,-0.279,-0.005
2019,1,NE,PIT,33,3,30,1,1,-6,6,51,36,0.803,0.542,1.113,-0.112,-0.192,-0.118,-0.387,0.068,-0.517,-0.085,0.091,-0.346,0.395,0.816,-0.105,-0.037
2019,1,TB,SF,17,31,-14,0,0,-1,1,49.5,48,-0.096,-0.293,-0.607,0.192,-0.277,-0.134,-0.393,-0.079,0.363,-0.152,-0.086,-0.134,-0.495,-0.937,0.101,0.02
2019,1,CLE,TEN,13,43,-30,0,0,-5.5,5.5,45.5,56,-0.525,-0.283,-0.373,0.1,0.303,0.334,0.272,0.061,0.535,0.259,0.384,0.224,-0.208,-0.278,-0.072,0.068
2019,1,PHI,WAS,32,27,5,1,0,-8.5,8.5,45.5,59,-0.228,0.33,0.702,-0.05,0.615,1.045,-0.516,0.057,0.213,0.455,1.072,-0.503,0.273,0.572,-0.049,0.032
2015,2,CHI,ARI,23,48,-25,0,0,1.5,-1.5,44.5,71,-0.72,-0.217,-0.09,-0.077,0.353,0.598,0.124,-0.15,1.004,0.561,1.037,0.136,-0.273,-0.205,-0.326,0.17
2015,2,NYG,ATL,20,24,-4,0,0,-2,2,51,44,-0.119,-0.019,0.298,-0.328,0.239,0.423,-0.063,0.139,0.102,0.216,0.367,-0.026,0.017,0.172,-0.23,-0.098
2015,2,OAK,BAL,37,33,4,1,1,6,-6,43,70,0.023,0.317,0.497,0.405,0.369,0.545,0.105,0.075,-0.082,0.299,0.51,0.147,0.405,0.447,0.306,0.024
2015,2,PHI,DAL,10,20,-10,0,0,-5.5,5.5,55,30,-0.571,-0.431,-0.029,-1.045,0.02,0.227,-0.196,-0.119,-0.036,-0.304,0.058,-0.224,-0.257,0.06,-0.837,0.01
2015,2,KC,DEN,24,31,-7,0,0,-3,3,43.5,55,-0.077,-0.224,-0.501,0.205,-0.097,0.152,-0.538,0.05,0.558,-0.021,0.294,-0.56,-0.471,-0.804,-0.171,0.107
2015,2,MIN,DET,26,16,10,1,1,-3,3,44,42,0.295,0.121,0.666,-0.015,-0.137,-0.003,-0.477,0.037,-0.072,0.032,0.32,-0.546,0.027,0.591,-0.178,-0.077
2015,2,CAR,HOU,24,17,7,1,1,-3,3,40.5,41,0.402,0.195,0.129,0.331,-0.303,-0.348,-0.207,-0.096,-0.082,-0.097,-0.029,-0.166,-0.064,-0.22,0.112,-0.05
2015,2,JAC,MIA,23,20,3,1,1,6,-6,41.5,43,-0.018,0.062,0.58,-0.346,0.107,0.368,-0.617,0.028,-0.283,-0.071,0.214,-0.573,0.103,0.585,-0.289,-0.108
2015,2,BUF,NE,32,40,-8,0,0,0,0,45,72,-0.243,-0.024,-0.513,0.489,0.131,0.109,0.231,-0.089,0.495,0.206,0.351,0.23,-0.208,-0.61,0.224,0.08
2015,2,IND,NYJ,7,20,-13,0,0,-7,7,47,27,-0.257,-0.295,-0.222,-0.388,-0.084,0.259,-0.506,-0.046,0.189,-0.089,0.426,-0.562,-0.286,-0.166,-0.443,-0.009
2015,2,CIN,SD,24,19,5,1,1,-3.5,3.5,45.5,43,0.054,0.092,0.672,-0.19,0.004,-0.037,0.048,-0.034,-0.155,0.09,0.265,0.078,0.127,0.36,-0.032,-0.118
2015,2,GB,SEA,27,17,10,1,1,-3,3,49,44,0.466,0.32,0.631,0.135,-0.096,-0.161,-0.024,0.05,0.112,0.235,0.376,0.182,0.19,0.356,-0.003,0.067
2015,2,PIT,SF,43,18,25,1,1,-5,5,44,61,0.765,0.803,1.305,0.391,0.047,0.237,-0.239,0.008,-0.954,-0.217,-0.132,-0.221,0.694,1.106,0.229,-0.043
2015,2,NO,TB,19,26,-7,0,0,-10.5,10.5,48.5,45,-0.459,-0.251,-0.444,0.181,-0.011,0.363,-0.253,-0.219,0.081,-0.248,-0.006,-0.302,-0.264,-0.506,0.044,0.066
2015,2,CLE,TEN,28,14,14,1,1,-2.5,2.5,41.5,42,0.263,-0.006,0.113,-0.056,0.011,-0.037,0.067,0.28,-0.706,-0.341,-0.449,-0.035,0.038,0.213,-0.038,-0.327
2016,2,OAK,ATL,28,35,-7,0,0,-5.5,5.5,48,63,0.087,0.46,0.762,0.21,0.206,0.398,-0.008,-0.168,0.292,0.433,0.805,0.137,0.297,0.37,0.186,0.157
2016,2,CLE,BAL,20,25,-5,0,0,4.5,-4.5,43.5,45,-0.118,0.13,0.262,0.056,0.018,0.229,-0.333,-0.23,-0.106,-0.179,0.018,-0.496,0.132,0.33,-0.203,0.205
2016,2,PIT,CIN,24,16,8,1,1,-3,3,48.5,40,0.068,-0.033,0.285,-0.312,-0.064,0.104,-0.605,0.038,0.281,0.087,0.311,-0.522,-0.191,-0.024,-0.366,0.004
2016,2,WAS,DAL,23,27,-4,0,0,-2.5,2.5,46.5,50,0.345,0.158,0.184,0.36,-0.138,0.059,-0.32,0.048,0.015,-0.005,0.296,-0.171,-0.031,-0.069,0.071,-0.011
2016,2,MIN,GB,17,14,3,1,1,2,-2,44.5,31,0.256,-0.316,0.105,-0.584,-0.501,-0.574,-0.366,0.071,-0.201,-0.277,-0.314,-0.204,-0.088,0.181,-0.5,-0.013
2016,2,DEN,IND,34,20,14,1,1,-4.5,4.5,45,54,0.282,0.078,0.314,-0.09,-0.283,-0.409,-0.067,-0.078,-0.362,-0.049,0.052,-0.005,0.294,0.448,0.136,-0.019
2016,2,SD,JAC,38,14,24,1,1,-2.5,2.5,47.5,52,0.154,0.2,0.476,0.163,0.055,-0.039,0.385,0.009,-0.467,-0.119,-0.116,0.192,0.27,0.403,0.159,-0.077
2016,2,HOU,KC,19,12,7,1,1,-2,2,43.5,31,-0.311,-0.392,-0.282,-0.517,-0.278,-0.265,-0.302,-0.198,0.012,-0.315,-0.178,-0.249,-0.192,-0.064,-0.331,0.136
2016,2,NE,MIA,31,24,7,1,1,-5.5,5.5,42.5,55,-0.038,0.29,0.716,-0.108,0.27,0.451,-0.222,-0.058,0.276,0.34,0.45,0.04,0.014,0.143,-0.11,-0.049
2016,2,NYG,NO,16,13,3,1,0,-5,5,51.5,29,0.068,-0.098,0.262,-0.578,-0.226,-0.161,-0.431,-0.06,0.037,0.121,0.303,-0.134,0.066,0.432,-0.436,-0.019
2016,2,BUF,NYJ,31,37,-6,0,0,-3,3,42.5,68,-0.179,0.217,0.559,-0.203,0.473,0.903,0.065,0.077,0.066,0.248,0.728,-0.013,0.103,0.628,-0.562,-0.079
2016,2,CHI,PHI,14,29,-15,0,0,-2.5,2.5,42.5,43,-0.294,-0.228,-0.192,-0.189,0.142,0.347,-0.097,0.076,0.158,0.07,0.303,-0.154,-0.202,-0.196,-0.21,-0.114
2016,2,LARM,SEA,9,3,6,1,1,7,-7,38.5,12,0.352,0.029,0.245,-0.247,-0.231,-0.074,-0.465,0.091,-0.479,-0.272,-0.033,-0.369,0.195,0.55,-0.273,-0.012
2016,2,CAR,SF,46,27,19,1,1,-13,13,44.5,73,0.222,0.025,0.428,-0.264,-0.109,0.29,-0.572,0.087,-0.396,-0.098,0.191,-0.417,0.255,0.564,-0.068,-0.044
2016,2,ARI,TB,40,7,33,1,1,-7,7,50,47,0.473,0.134,0.48,-0.343,-0.39,-0.548,-0.055,-0.05,-0.537,-0.268,-0.341,-0.041,0.229,0.536,-0.18,-0.04
2016,2,DET,TEN,15,16,-1,0,0,-5.5,5.5,46.5,31,-0.067,-0.173,-0.32,0.077,0.019,0.113,-0.108,0.125,-0.146,-0.088,-0.103,-0.068,-0.09,-0.205,0.095,-0.147
2017,2,IND,ARI,13,16,-3,0,1,7,-7,44,29,-0.31,-0.319,-0.344,-0.094,-0.004,0.114,-0.183,0.005,-0.086,-0.267,-0.214,-0.237,-0.234,-0.246,-0.219,-0.053
2017,2,CAR,BUF,9,3,6,1,0,-7,7,42.5,12,0.166,-0.212,0.13,-0.485,-0.329,-0.166,-0.517,0.048,-0.218,-0.317,-0.206,-0.441,-0.163,0.058,-0.425,-0.064
2017,2,TB,CHI,29,7,22,1,1,-6.5,6.5,43,36,0.283,0.081,0.336,-0.117,-0.128,0.122,-0.721,0.074,-0.721,-0.632,0.063,-0.111,0.019,-0.379,-0.119,-0.069
2017,2,BAL,CLE,24,10,14,1,1,-7.5,7.5,41,34,0.388,0.145,0.278,-0.004,-0.262,-0.337,-0.112,-0.019,-0.56,-0.445,-0.499,0.004,0.126,0.455,-0.253,0.011
2017,2,DEN,DAL,42,17,25,1,1,2,-2,43,59,0.401,0.338,0.581,0.16,-0.278,-0.135,-0.714,-0.215,-0.682,-0.359,-0.177,-0.398,0.425,0.659,0.215,0.102
2017,2,NYG,DET,10,24,-14,0,0,-4.5,4.5,43.5,34,-0.589,-0.291,-0.155,-0.376,0.014,-0.081,0.076,-0.284,0.364,-0.052,0.173,-0.114,-0.149,-0.112,-0.219,0.267
2017,2,ATL,GB,34,23,11,1,1,-2,2,53.5,57,0.098,0.295,0.309,0.43,0.271,0.334,0.089,0.073,-0.126,0.088,0.236,0.21,0.226,0.194,0.259,0.011
2017,2,CIN,HOU,9,13,-4,0,0,-3,3,38.5,22,-0.007,-0.267,0.711,-0.244,-0.014,0.075,-0.237,0.246,-0.115,-0.134,0.445,0.278,-0.138,0.282,-0.387,-0.119
2017,2,SD,MIA,17,19,-2,0,0,-5,5,45,36,0.022,0.41,0.718,-0.184,0.164,0.374,-0.056,-0.224,-0.129,0.111,0.496,-0.184,0.261,0.418,-0.149,0.021
2017,2,PIT,MIN,26,9,17,1,1,-7,7,45,35,0.829,0.443,0.972,0.064,-0.344,-0.547,-0.035,0.042,-0.082,-0.026,0.005,0.033,0.086,0.315,-0.156,0.031
2017,2,NO,NE,20,36,-16,0,0,4.5,-4.5,54,56,-0.148,0.187,0.335,-0.141,0.323,0.71,-0.134,-0.012,0.34,0.605,1.184,-0.022,0.148,0.293,-0.161,-0.117
2017,2,OAK,NYJ,45,20,25,1,1,-14,14,43.5,65,0.472,0.616,0.725,-0.172,0.182,-0.225,0.197,0.037,-0.682,-0.115,-0.347,-0.738,0.547,-0.202,0.146,-0.019
2017,2,KC,PHI,27,20,7,1,1,-4.5,4.5,47.5,47,0.602,0.481,1.386,0.171,-0.05,0.354,-0.107,0.071,-0.289,-0.022,-0.053,0.287,0.152,0.142,0.166,-0.115
2017,2,SEA,SF,12,9,3,1,0,-12,12,43,21,0.175,-0.111,-0.28,-0.051,-0.388,-0.059,-0.177,-0.103,-0.299,-0.396,-0.903,0.288,0.019,-0.022,0.063,0.116
2017,2,JAC,TEN,16,37,-21,0,0,0,0,44,53,-0.685,-0.264,-0.74,0.236,0.352,0.097,0.536,-0.069,0.779,0.526,0.488,-0.35,-0.137,0.466,0.174,0.115
2017,2,LARM,WAS,20,27,-7,0,0,-3,3,46,47,-0.368,-0.146,0.705,-0.252,0.195,-0.621,-0.39,-0.028,0.48,0.195,0.274,0.136,-0.347,-0.332,-0.363,-0.061
