,Predicted,Actual,Error
46,30.5260795635211,35,-4.473920436478899
830,4.625560954896328,4,0.6255609548963283
973,1.6524852747244614,2,-0.3475147252755386
245,-1.33691066526875,-8,6.66308933473125
876,11.102106324642282,3,8.102106324642282
80,14.3445226224839,12,2.3445226224839004
865,-2.5400555341639834,-7,4.459944465836017
310,31.087736719059592,37,-5.912263280940408
126,-3.097127436259884,-5,1.9028725637401158
421,8.505383553824878,21,-12.494616446175122
27,-14.85681192703725,-18,3.143188072962751
447,5.373532536962331,7,-1.6264674630376694
843,-10.47832798270261,-7,-3.4783279827026092
216,-20.15383410593388,-8,-12.153834105933878
467,4.63119369238433,-2,6.63119369238433
322,23.928795444622384,15,8.928795444622384
989,-12.064647449962912,-14,1.9353525500370878
650,-1.471740513558783,-1,-0.4717405135587831
278,16.689511941127087,16,0.6895119411270869
809,-0.7686215070329245,-5,4.2313784929670755
468,3.495348405811426,6,-2.504651594188574
393,-3.4194007703541107,-7,3.5805992296458893
738,-0.7296782339456636,-3,2.2703217660543364
417,11.502507672999673,-2,13.502507672999673
477,-7.4096858041188245,-3,-4.4096858041188245
163,11.725009384987729,7,4.725009384987729
569,6.57675509192297,3,3.57675509192297
